AC019043.8	7	157956020	157956126
U6	17	15981807	15981911
AL593851.6-2	9	134884755	134884842
hsa-mir-206	6	52117106	52117191
U6	6	111436166	111436272
AL109922.9-3	6	65741007	65741106
SRP_euk_arch	20	18187200	18187495
7SK	5	29984692	29984995
5S_rRNA	14	91339958	91340070
7SK	9	108482079	108482393
Y_RNA	6	68391970	68392078
SNORD91	17	2179163	2179257
U6	3	176968040	176968143
U6	2	223071254	223071361
U6	4	39755889	39755997
Y_RNA	22	19165445	19165555
SNORA48	16	11275471	11275594
SNORD115	15	23047099	23047180
hsa-mir-382	14	100590396	100590471
SRP_euk_arch	9	131172274	131172561
U1	15	43082354	43082518
5S_rRNA	18	9913917	9914018
U6	18	12088426	12088531
U3	2	75708587	75708801
SNORD115	15	23014857	23014938
Y_RNA	1	210042982	210043069
AC006150.2	7	14781556	14781673
Y_RNA	12	94193677	94193779
SSU_rRNA_5	2	132729585	132730218
AC079922.5	2	113144686	113144772
hsa-mir-33a	22	40626894	40626962
SRP_euk_arch	15	100130965	100131239
AC134878.3-3	24	11800551	11800633
hsa-mir-302c	4	113788968	113789035
SNORD115	15	22991161	22991241
hsa-mir-652	23	109185213	109185310
7SK	3	83820150	83820450
7SK	22	48518329	48518656
U6atac	18	17964562	17964688
AL080285.6	6	100690758	100691260
RP11-255N24.1	9	30660962	30661964
AC016732.7-1	2	157775264	157776245
U6	12	39234230	39234336
RP11-255N24.4	9	30548885	30549563
SRP_euk_arch	5	81410002	81410297
U6	2	127176885	127176988
hsa-mir-654	14	100576309	100576389
U6	9	14840427	14840533
U6	19	51501567	51501674
U6	7	45795709	45795812
hsa-mir-7-1	9	85774483	85774592
5S_rRNA	9	66197963	66198083
U1	24	19107785	19107946
U6	3	100109993	100110099
SNORD93	7	22862757	22862830
SRP_euk_arch	14	31981298	31981594
5S_rRNA	20	43621811	43621929
AL596275.10	1	50564529	50565269
AC092686.3-2	2	156986954	156987056
AC092686.3-1	2	156974904	156975004
AC004975.2-1	7	156789843	156790073
AC011483.7	19	56122146	56122637
AC004898.3	7	156640208	156640286
AC004815.2	12	118941086	118941448
AP003040.2-2	11	122393557	122394582
AP003040.2-1	11	122379514	122379581
AC092662.2-7	2	155876308	155876378
AC092662.2-6	2	155876249	155876307
AC092662.2-5	2	155876181	155876247
AC092662.2-4	2	155828847	155828914
AC092662.2-3	2	155828771	155828839
AC092662.2-2	2	155828697	155828769
AC092662.2-1	2	155828536	155828600
AC079256.5-1	2	155654197	155654299
AC010730.11-1	2	155155166	155155255
AC092960.3-1	3	184654615	184654744
AC025048.8	17	55594662	55594743
Y_RNA	8	66667520	66667609
SRP_euk_arch	10	104275728	104275989
hsa-mir-583	5	95440598	95440672
hsa-mir-637	19	3912412	3912510
SRP_euk_arch	15	28692208	28692486
AL590285.10	23	36505391	36505486
U6	1	199969157	199969256
SRP_euk_arch	17	26869570	26869865
U6	10	21893406	21893512
Y_RNA	14	63384732	63384833
AP002762.4	11	122102128	122102229
AL356968.41-1	1	48674226	48675482
RP11-460C6.1	9	29814756	29816709
AP001835.4-2	11	121827391	121827519
AP001835.4-1	11	121825136	121825251
AC012066.10	2	152954437	152955395
5S_rRNA	1	226832760	226832878
AL050327.6	20	56613546	56613689
SNORD34	19	54685973	54686043
AL365202.19-2	9	3456500	3456572
AC068587.16-3	8	12479885	12480032
U6	1	8866073	8866179
Y_RNA	3	48305081	48305188
AC104641.11	3	184375418	184375489
AL356289.6	1	48327585	48327797
AL591803.10	6	99729326	99730110
AL157884.9-2	9	32698646	32698739
AC084880.12	12	118117032	118117582
AP002959.2	11	120737769	120738782
AC073587.6	10	122104417	122104685
AC087885.17	12	117916045	117916347
RP11-54O7.10	1	933317	933472
AL158014.20-1	10	121517754	121518044
AC009311.3	2	151936772	151937044
AC007547.26-1	3	183013896	183014184
AL355143.17-1	6	97203086	97203669
AC018731.5	2	151750953	151751355
AC093738.2	2	150927523	150927595
AC006019.2	7	153389490	153390028
AL034348.5	6	96492752	96493016
AL078595.12-2	6	95213700	95213768
AL078595.12-1	6	95213562	95213629
AC105402.5	2	149344063	149344420
hsa-mir-661	8	145091347	145091435
Y_RNA	3	23290302	23290405
AC121336.3-2	12	38487164	38487243
SNORA48	15	23805180	23805314
SRP_euk_arch	2	202906407	202906696
AC134503.2	3	181413002	181413524
AC007687.17-2	3	181005294	181005703
AC092180.5-2	7	152085680	152085969
AL138731.10	6	93858415	93859290
AL589947.3-1	6	93556892	93557094
AC104843.3-1	7	151923948	151924034
AL132766.13-3	6	92506048	92506337
AL132766.13-2	6	92493544	92493610
AC007687.17-1	3	180980038	180980200
U2	9	2152763	2152953
Y_RNA	2	174837852	174837955
hsa-mir-338	17	76714278	76714344
U4	6	121816826	121816966
U6	4	40810716	40810819
7SK	7	12882834	12883096
SNORA22	7	64163812	64163945
SNORA9	23	99964265	99964397
AP002956.1-3	11	118705039	118705229
AP002956.1-2	11	118704619	118704904
AL355987.31-2	9	138892211	138892487
AP002956.1-1	11	118697944	118698139
RP11-48L13.1	9	29626484	29626851
AC090425.15-2	3	180826317	180826851
AC090425.15-1	3	180815259	180815360
AC013406.7-1	2	147798009	147798113
AL121787.22-1	6	90767708	90767946
