1	91625489	12	126216846	DIST	63
13	26931716	14	87307371	DIST	46
1	91625432	23	108184393	DIST	57
1	91625541	9	78376483	DIST	56
2	132729321	12	20595675	DIST	63
11	84872733	17	30502331	DIST	64
2	132749130	16	33857680	DIST	45
2	132728421	12	20595722	DIST	45
2	132733711	2	132735367	DIST	46
2	132746151	16	33860694	DIST	44
12	20595654	16	33870860	DIST	56
2	132744887	2	132745752	DIST	54
2	132730217	16	33870414	DIST	41
3	75779577	3	75780122	DIST	45
2	132741645	16	33865427	DIST	45
2	132748144	16	33858572	DIST	45
2	132741632	16	33864619	DIST	45
10	127564661	13	19269456	DIST	51
3	75873146	3	75873708	DIST	47
10	46443306	10	46479608	RR	63
2	132728412	16	33871397	DIST	45
2	132736574	17	42587037	DIST	40
4	3581684	4	3582585	DIST	64
9	67914159	9	67914890	DIST	60
2	126159520	2	126168495	DIST	66
4	142450102	4	142452835	DIST	63
16	14488436	23	136348076	DIST	57
4	80493338	16	33864837	DIST	42
1	154793236	1	154795895	DIST	66
9	67912111	9	67913639	DIST	44
1	225232679	1	225233368	DIST	58
8	58280956	8	58290296	RF	39
1	205164055	1	205164684	DIST	47
3	32076906	3	32083174	DIST	63
4	182293387	4	182294365	DIST	64
12	126746646	12	126747205	DIST	63
13	55048689	13	55049274	DIST	63
16	33868449	17	42568937	DIST	41
6	29793212	6	29796238	DIST	64
1	212836475	1	212837215	DIST	64
7	44566431	7	44567025	DIST	60
7	116629197	7	116629936	DIST	66
11	1871774	11	1893913	DIST	60
4	67947060	4	67947635	RF	67
1	160593728	1	160594588	DIST	66
10	18542764	10	18543719	DIST	63
1	6176185	14	87307389	DIST	42
14	93258002	14	93258546	DIST	63
4	141364987	4	141365717	DIST	63
2	195922812	2	195923576	DIST	61
22	46160472	22	46161121	DIST	64
9	88344068	9	88345799	DIST	64
1	217989530	1	217990264	DIST	54
13	42437763	13	42439837	DIST	63
20	23051023	20	23051750	DIST	66
6	71794877	6	71795502	DIST	60
19	35645289	19	35645953	DIST	66
8	58285481	8	58290297	DIST	48
4	111735478	4	111736100	DIST	63
2	240630078	2	240630985	DIST	60
8	60298174	8	60299015	RF	64
22	42006534	22	42007538	DIST	54
10	132072076	10	132072651	DIST	60
5	68296408	5	68297066	DIST	57
14	58953123	14	58954101	DIST	63
7	128096407	7	128097174	DIST	60
3	121376376	3	121377197	DIST	61
2	216866368	2	216866986	DIST	67
2	108221479	2	108222746	DIST	64
3	42813088	3	42815922	DIST	61
7	13209110	7	13209700	DIST	63
1	238182756	1	238183570	RR	63
13	22405699	13	23828487	DIST	44
9	70994003	9	70994885	DIST	61
1	167270866	1	167272160	DIST	63
11	69717781	11	69718409	DIST	63
11	93217373	11	93217992	DIST	61
14	51664387	14	51665135	DIST	60
1	222267701	1	222268255	DIST	63
17	402756	17	403429	DIST	64
18	50206778	18	50211129	DIST	64
20	11465079	20	11465807	DIST	64
5	60037247	5	60039664	DIST	66
1	5650183	1	5651013	DIST	40
7	28180770	7	28181537	DIST	63
4	184711172	4	184711906	DIST	57
3	153794131	3	153795990	DIST	63
9	90048630	9	90051046	DIST	63
5	1715872	5	1716413	DIST	63
7	89391736	7	89392528	DIST	63
13	41653642	13	41654335	DIST	63
14	75883146	14	75883997	DIST	63
15	90475351	15	90478282	DIST	60
6	168459704	6	168461745	DIST	63
6	32886355	6	32887841	DIST	64
15	70355210	15	70355829	DIST	64
8	138811862	8	138813154	DIST	63
10	7116888	10	7118531	DIST	66
7	33865039	7	33865809	DIST	64
1	224679024	1	224679682	DIST	64
8	110303606	8	110304354	DIST	64
8	2202643	8	2203777	DIST	64
2	110209964	2	111169891	DIST	64
12	44189264	12	44196419	DIST	64
3	131246029	3	131289743	DIST	49
8	112363157	8	112366655	DIST	63
20	61833150	20	61833698	DIST	63
11	13522258	11	13523049	DIST	57
14	53779906	14	53783683	DIST	66
1	208772842	1	208773403	DIST	63
8	71745898	8	71747399	DIST	63
1	143803886	1	143808468	DIST	60
8	137229051	8	137233182	DIST	60
6	66316462	6	66318865	DIST	63
18	33559981	18	33561005	DIST	63
7	157978694	7	157979417	DIST	66
3	75860270	3	75860805	DIST	44
1	232865270	1	232865814	DIST	63
2	88602782	2	88603668	DIST	66
